,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AGAP000002,96.9464435,0.198203321,0.231874758,-0.854786107,0.392669571,0.639700538
AGAP000005,12.95837719,0.905813606,0.554308378,-1.634132989,0.102230929,0.260453322
AGAP000007,39.56656125,-0.077149739,0.333773689,0.23114386,0.817203042,0.917279504
AGAP000008,122.4481298,-0.053752578,0.245145146,0.219268374,0.826440996,0.92156667
AGAP000009,273.5675034,0.36020078,0.17113044,-2.104831732,0.035305958,0.114008823
AGAP000010,51.30167194,0.259972443,0.302223605,-0.860199003,0.389679354,0.637229991
AGAP000011,27.50714811,2.907050069,0.458277549,-6.343426768,2.25E-10,3.33E-09
AGAP000012,25.41958895,-0.699820943,0.43265065,1.617519684,0.10576615,0.267107996
AGAP000013,18.02184987,0.168918465,0.511462231,-0.330265764,0.741199159,0.880713032
AGAP000014,6.858169769,-0.452263017,0.762996965,0.5927455,0.553351486,0.76714437
AGAP000015,1.894485267,0.131273056,1.505070611,-0.08722053,0.930496221,0.970874769
AGAP000016,1.098345323,3.986873189,2.119483216,-1.881059099,0.05996388,NA
AGAP000017,1685.426776,0.32855918,0.125221766,-2.62381846,0.008695012,0.035466495
AGAP000018,91.86389678,0.007119437,0.245498874,-0.028999878,0.976864688,0.990301393
AGAP000019,0.252003007,-1.069302806,4.036917477,0.264881017,0.791101123,NA
AGAP000021,30.87089889,0.20822014,0.380451563,-0.54729737,0.584174451,0.78696966
AGAP000022,599.0968873,0.237185695,0.15603628,-1.520067608,0.128493985,0.306661476
AGAP000023,33.95316081,-2.862971989,0.492575897,5.812245394,6.16E-09,7.85E-08
AGAP000025,41.68946219,0.217404928,0.338414593,-0.642421849,0.520599317,0.744816561
AGAP000028,47.39670532,-0.327452869,0.313450163,1.04467283,0.296174206,0.543007593
AGAP000029,324.6787315,0.328029252,0.159217952,-2.060252927,0.039374367,0.124279822
AGAP000032,142.9034016,-1.583141483,0.231667137,6.833690382,8.28E-12,1.39E-10
AGAP000033,27.28927904,-0.05480842,0.395339347,0.138636391,0.889737485,0.9531013
AGAP000035,120.1438465,0.708508123,0.243303288,-2.912036778,0.003590804,0.016884168
AGAP000037,21.77260732,-0.949006787,0.457610631,2.073830289,0.038095075,0.121211603
AGAP000038,0.51998442,1.591733439,2.782682502,-0.572014032,0.567312468,NA
AGAP000039,0,#VALUE!,NA,NA,NA,NA
AGAP000040,59.14138598,-2.188617685,0.333910843,6.554497207,5.58E-11,8.88E-10
AGAP000041,1.19299028,-0.058805637,1.871676158,0.031418703,0.974935626,0.989412046
AGAP000042,455.5386536,0.361167928,0.151964618,-2.376658029,0.017470276,0.064033348
AGAP000043,61.15578599,0.416669937,0.290849898,-1.432594409,0.15197378,0.344241235
AGAP000044,1459.597472,-0.047816373,0.137326033,0.348195979,0.727693007,0.87281085
AGAP000045,0.126604418,-0.163970499,4.080472857,0.040184191,0.967946282,NA
AGAP000046,6.350822162,1.082152505,0.850489143,-1.272388382,0.20323516,0.422736925
AGAP000047,0,#VALUE!,NA,NA,NA,NA
AGAP000048,32.39318413,0.056372728,0.377212829,-0.149445414,0.881202179,0.949980944
AGAP000049,45.25895842,0.579316921,0.317826012,-1.822748606,0.068341475,0.190802188
AGAP000051,0.175771263,1.759582853,4.080472857,-0.43122033,0.666308173,NA
AGAP000053,157.2196183,0.142120964,0.191055851,-0.743871298,0.456954341,0.695873133
AGAP000056,0.619850392,-2.370863366,2.682946938,0.883678813,0.376869621,NA
AGAP000057,0,#VALUE!,NA,NA,NA,NA
AGAP000058,54.85512188,0.006900527,0.315657704,-0.021860792,0.982559001,0.992506939
AGAP000061,13.44864568,-0.629078233,0.568274044,1.106998005,0.268294791,0.510030395
AGAP000062,4.414702916,0.075555861,0.9589935,-0.078786624,0.937202343,0.972860762
AGAP000063,19.83054101,0.646125779,0.513149692,-1.25913703,0.207980841,0.429724757
AGAP000064,42.71325564,1.072514467,0.343597576,-3.121426171,0.001799774,0.009243808
AGAP000065,1.155255267,0.388058563,2.045299696,-0.189731883,0.849519235,NA
AGAP000066,0,#VALUE!,NA,NA,NA,NA
AGAP000067,0.559039102,1.700310926,2.899591519,-0.58639671,0.557608955,NA
AGAP000068,0.661922016,3.251221956,2.505225918,-1.297775954,0.194364335,NA
AGAP000069,0,#VALUE!,NA,NA,NA,NA
AGAP000070,21.89112282,0.479738436,0.449899115,-1.066324469,0.286276992,0.531681966
AGAP000071,0,#VALUE!,NA,NA,NA,NA
AGAP000072,0,#VALUE!,NA,NA,NA,NA
AGAP000073,16.10570106,-0.857895628,0.55468697,1.546630215,0.121952439,0.294859937
AGAP000074,0,#VALUE!,NA,NA,NA,NA
AGAP000075,112.3937878,0.499024546,0.214821664,-2.322971233,0.020180698,0.071878727
AGAP000076,30.68078465,1.081974553,0.375038478,-2.884969454,0.003914516,0.018218768
AGAP000078,24.36046318,-0.749444506,0.425139107,1.762821847,0.077930542,0.211632126
AGAP000079,7.544217737,-0.650882323,0.747557857,0.870678191,0.38392989,0.631755724
AGAP000080,0.253208836,-1.075296896,4.036386492,0.266400876,0.789930491,NA
AGAP000081,37.5893875,-0.346294316,0.353786867,0.978821853,0.32766801,0.578316049
AGAP000082,130.3256852,0.009226559,0.226829855,-0.040676124,0.967554096,0.985377163
AGAP000085,0.249220213,-1.055402778,3.839131335,0.274906661,0.783387949,NA
AGAP000088,0.752623313,-2.648637511,2.545822395,1.040385816,0.298160689,NA
AGAP000090,238.4982375,2.056393591,0.178532695,-11.51830255,1.07E-30,4.43E-29
AGAP000091,1.572155656,-0.196791938,1.681575335,0.117028321,0.906837611,0.96288718
AGAP000092,1.613948449,-3.751023303,1.981329814,1.893184707,0.05833331,0.169342186
AGAP000093,209.738709,0.754542844,0.191465118,-3.940889355,8.12E-05,0.000564618
AGAP000094,1.155770905,0.400059116,1.841151057,-0.217287503,0.827984296,NA
AGAP000095,1.484563607,-0.468436254,1.750314678,0.267629735,0.78898434,0.906207571
AGAP000096,106.4656708,-0.102920929,0.221817387,0.463989459,0.642655298,0.825917676
AGAP000097,149.5409002,-0.061581389,0.215455557,0.28581945,0.775016411,0.89909079
AGAP000098,8.309154907,-0.346510364,0.708394213,0.489149061,0.62473617,0.814153765
AGAP000099,150.130013,-0.125881155,0.202958782,0.620230149,0.535106275,0.754625909
AGAP000100,9.303798383,-1.159020198,0.702462998,1.649937722,0.098955675,0.253972577
AGAP000102,281.9442604,0.140458006,0.180167251,-0.779597873,0.435627608,0.677157529
AGAP000104,0.612755171,1.80476606,2.64272686,-0.68291812,0.494658583,NA
AGAP000105,31.75331178,-0.543691368,0.372944848,1.457833165,0.144886534,0.333372423
AGAP000106,135.8314368,-0.65276156,0.209982435,3.10864839,0.001879452,0.009590621
AGAP000107,8.111455981,-1.494086519,0.769392614,1.941903902,0.052148735,0.155336657
AGAP000108,0.126001504,-0.163970499,4.080472857,0.040184191,0.967946282,NA
AGAP000109,1238.62882,-0.461365056,0.126290267,3.65321151,0.000258981,0.001644442
AGAP000110,194.2837866,-0.805719377,0.181395399,4.441785085,8.92E-06,7.35E-05
AGAP000111,0,#VALUE!,NA,NA,NA,NA
AGAP000112,58.26610983,0.337578164,0.305973838,-1.103290942,0.269900839,0.512186113
AGAP000113,4.331160203,-0.162674892,1.002704248,0.162236165,0.871119881,0.943885135
AGAP000114,25.76810845,0.989998756,0.403438275,-2.453903901,0.014131474,0.053657566
AGAP000115,0,#VALUE!,NA,NA,NA,NA
AGAP000116,32.76669597,-0.938698383,0.386549921,2.428401436,0.015165547,0.056958239
AGAP000117,12.32334552,0.604019,0.580086575,-1.041256642,0.297756454,0.544589077
AGAP000118,204.025682,-0.377863522,0.17747555,2.129101852,0.033245835,0.108608899
AGAP000119,118.3894117,0.110702726,0.220632649,-0.501751337,0.615842448,0.809068026
AGAP000120,40.4495406,-0.615444318,0.337196016,1.825182649,0.067973471,0.190141711
AGAP000121,2.425787677,0.80207941,1.255856838,-0.638671054,0.523036947,0.746458517
AGAP000123,0,#VALUE!,NA,NA,NA,NA
AGAP000124,12.16531415,0.061658152,0.575162236,-0.107201322,0.914629267,0.963620341
AGAP000126,94.88376501,0.203027617,0.229146992,-0.88601476,0.375609574,0.624098603
AGAP000127,108.3963519,-0.071313865,0.250198036,0.285029673,0.775621408,0.899331262
AGAP000128,0.837693279,3.608699121,2.298001088,-1.570364409,0.116330357,NA
AGAP000129,3.81154427,0.04501743,0.99627082,-0.045185936,0.963959104,0.983606335
AGAP000131,2.587170879,-1.276463455,1.377973983,0.926333494,0.354272694,0.605553756
AGAP000132,152.5772379,0.030803893,0.19450419,-0.158371361,0.87416418,0.945395599
AGAP000133,0.646588838,0.695591616,2.434118968,-0.285767304,0.775056352,NA
AGAP000136,2.616937082,1.264242026,1.306361777,-0.967757973,0.333165257,0.5844532
AGAP000137,0.344816071,0.797803368,3.443196412,-0.231704286,0.816767702,NA
AGAP000138,0,#VALUE!,NA,NA,NA,NA
AGAP000139,25.51544873,-1.011574092,0.420572059,2.405233704,0.016162126,0.060091043
AGAP000140,5.57916091,1.414648195,0.892704413,-1.58467705,0.113039729,0.280338527
AGAP000141,3.41414908,-0.467347597,1.073119258,0.435503877,0.663196726,0.838047398
AGAP000142,19.60848693,-0.314761129,0.456085348,0.690136464,0.490108374,0.722483555
AGAP000143,209.3549078,-1.589120497,0.192372268,8.260652721,1.45E-16,3.44E-15
AGAP000144,0,#VALUE!,NA,NA,NA,NA
AGAP000145,1225.363106,0.199128758,0.13243905,-1.503550192,0.132697224,0.313330901
AGAP000146,0.126604418,-0.163970499,4.080472857,0.040184191,0.967946282,NA
AGAP000147,35.90429787,-0.149070137,0.370993898,0.401812908,0.687821721,0.851568451
AGAP000149,78.19158659,0.487272481,0.246888621,-1.973653055,0.048421207,0.146393616
AGAP000150,0,#VALUE!,NA,NA,NA,NA
AGAP000151,0,#VALUE!,NA,NA,NA,NA
AGAP000152,0,#VALUE!,NA,NA,NA,NA
AGAP000153,0.126001504,-0.163970499,4.080472857,0.040184191,0.967946282,NA
AGAP000154,9.982511478,-4.522397037,1.172822085,3.855995804,0.000115259,0.000782826
AGAP000155,25.36782222,0.142943536,0.411757085,-0.347155012,0.728474867,0.873364895
AGAP000156,17.79206493,0.499856087,0.480282499,-1.040754322,0.297989584,0.544766132
AGAP000158,19.98698212,0.906859789,0.477424293,-1.899483966,0.057500873,0.167707949
AGAP000159,0.78792352,2.287028023,2.289429936,-0.998950869,0.317818492,NA
AGAP000160,0.175771263,1.759582853,4.080472857,-0.43122033,0.666308173,NA
AGAP000161,78.56712149,0.789158947,0.259585291,-3.040075748,0.002365187,0.011832749
AGAP000162,221.3093353,0.938267114,0.176806438,-5.306747449,1.12E-07,1.23E-06
AGAP000163,45.01380529,1.959925901,0.341885108,-5.73270334,9.88E-09,1.24E-07
AGAP000164,0.122615795,-0.163970499,4.080472857,0.040184191,0.967946282,NA
AGAP000165,543.8108765,1.024357277,0.168711876,-6.071637038,1.27E-09,1.74E-08
AGAP000166,0.175771263,1.759582853,4.080472857,-0.43122033,0.666308173,NA
AGAP000167,58.44807802,-0.252131542,0.325088808,0.775577429,0.437998531,0.679504424
AGAP000168,67.90860167,2.472870969,0.290547333,-8.511077849,1.72E-17,4.27E-16
AGAP000169,5.846474028,-0.580695963,0.833524645,0.696675218,0.486006071,0.719249776
AGAP000170,713.6131035,-0.651551302,0.14131704,4.610564333,4.02E-06,3.49E-05
AGAP000171,197.4673934,0.030976749,0.185015702,-0.167427676,0.86703355,0.941202003
AGAP000173,213.1103347,-0.33767178,0.178753636,1.889034467,0.05888721,0.17066477
AGAP000177,0,#VALUE!,NA,NA,NA,NA
AGAP000178,2.029409133,-2.912614999,1.69997298,1.713330172,0.086651815,0.229800718
AGAP000179,10.68248414,1.462531923,0.66249201,-2.20762198,0.027270636,0.092104715
AGAP000180,60.91309007,1.210281764,0.277552575,-4.360549575,1.30E-05,0.000103789
AGAP000181,20.28525667,-1.327697903,0.498767231,2.661958967,0.007768735,0.032233565
AGAP000182,1.014025143,2.705815086,2.20548391,-1.226857777,0.219876051,NA
AGAP000183,0,#VALUE!,NA,NA,NA,NA
AGAP000184,173.2104669,1.641349624,0.205348384,-7.992999962,1.32E-15,2.95E-14
AGAP000185,10.39207064,-0.188828872,0.647514639,0.291621009,0.77057641,0.89619742
AGAP000186,0,#VALUE!,NA,NA,NA,NA
AGAP000187,48.14005854,-0.064244067,0.314252931,0.204434265,0.838014156,0.926857005
AGAP000188,118.1440782,1.434651565,0.231146143,-6.206686163,5.41E-10,7.74E-09
AGAP000189,49.51912938,0.161618608,0.31859822,-0.507280324,0.611958142,0.807632153
AGAP000190,15.49587487,-4.101375465,0.85221627,4.812599348,1.49E-06,1.40E-05
AGAP000191,0.126001504,-0.163970499,4.080472857,0.040184191,0.967946282,NA
AGAP000192,0.126001504,-0.163970499,4.080472857,0.040184191,0.967946282,NA
AGAP000193,0,#VALUE!,NA,NA,NA,NA
AGAP000194,0.126001504,-0.163970499,4.080472857,0.040184191,0.967946282,NA
AGAP000195,25.70573121,0.385431497,0.404738829,-0.952296814,0.340946473,0.592712876
AGAP000196,8.024740656,-0.682283064,0.745524291,0.915172145,0.360101266,0.611023528
AGAP000198,3.06508946,0.779198726,1.112269133,-0.700548728,0.483584685,0.71727872
AGAP000199,6.359894893,-0.776890219,0.835921424,0.929381874,0.352691218,0.605017306
AGAP000200,0.126001504,-0.163970499,4.080472857,0.040184191,0.967946282,NA
AGAP000201,28.01623937,0.255487768,0.384233131,-0.664929043,0.506095878,0.733416329
AGAP000202,122.4321892,-0.88378511,0.221577487,3.988605173,6.65E-05,0.000469405
AGAP000203,29.6277496,0.062387883,0.374418022,-0.166626283,0.867664112,0.94143006
AGAP000204,1.3582383,2.12128131,1.799063805,-1.179102877,0.238357213,0.469360392
AGAP000205,2.243053163,-0.649722171,1.368372337,0.474813874,0.634919643,0.82071519
AGAP000206,0.249220213,-1.055402778,3.839131335,0.274906661,0.783387949,NA
AGAP000209,1.041692957,-0.027918943,2.151095657,0.012978941,0.989644594,NA
AGAP000210,1.01003652,2.705856901,2.207883992,-1.225543059,0.220370677,NA
AGAP000211,12.94218002,2.559729805,0.650102658,-3.937423992,8.24E-05,0.000571074
AGAP000213,0.2679391,1.759582853,4.080472857,-0.43122033,0.666308173,NA
AGAP000214,0.2679391,1.759582853,4.080472857,-0.43122033,0.666308173,NA
AGAP000215,0,#VALUE!,NA,NA,NA,NA
AGAP000216,0,#VALUE!,NA,NA,NA,NA
AGAP000217,0,#VALUE!,NA,NA,NA,NA
AGAP000218,0.248617299,-1.052425688,3.842731676,0.273874362,0.784181174,NA
AGAP000219,0.344213157,0.797803364,3.445351046,-0.231559384,0.816880257,NA
AGAP000220,152.5485894,0.395411562,0.229158598,-1.725493025,0.08443866,0.225169759
AGAP000222,59.51939636,0.783873249,0.290842655,-2.6951798,0.007035066,0.029623245
AGAP000223,0.553775774,-0.691940212,2.884353745,0.239894365,0.810412149,NA
AGAP000225,0.122615795,-0.163970499,4.080472857,0.040184191,0.967946282,NA
AGAP000226,0,#VALUE!,NA,NA,NA,NA
AGAP000228,63.3024485,1.392532491,0.345343743,-4.032308445,5.52E-05,0.000396207
AGAP000230,0,#VALUE!,NA,NA,NA,NA
AGAP000232,621.8285703,3.523880197,0.15217145,-23.15730189,1.23E-118,2.48E-116
AGAP000233,1.215740102,1.982937974,2.020274816,-0.981518929,0.326336905,0.57706524
AGAP000234,23.96122101,-0.07474503,0.462025905,0.161776708,0.871481696,0.943885135
AGAP000235,1124.989371,0.029050666,0.128205059,-0.226595319,0.820738432,0.918346651
AGAP000236,82.13728099,0.426316795,0.256864154,-1.659697504,0.096975322,0.250147338
AGAP000237,348.3527431,0.611563184,0.163821215,-3.733113473,0.000189127,0.001233377
AGAP000238,23.07109835,0.959250003,0.465920787,-2.05882637,0.039510875,0.124665355
AGAP000239,0,#VALUE!,NA,NA,NA,NA
AGAP000240,0.249220213,-1.055402778,3.839131335,0.274906661,0.783387949,NA
AGAP000241,303.9081176,-1.794153286,0.187474063,9.570141347,1.07E-21,3.22E-20
AGAP000242,21.9721444,0.659073196,0.447414273,-1.473071462,0.140731768,0.326007938
AGAP000243,9.893160512,1.280859075,0.698095719,-1.834790045,0.066536804,0.187330347
AGAP000244,0,#VALUE!,NA,NA,NA,NA
AGAP000245,36.60135218,0.968479035,0.349967969,-2.76733622,0.005651643,0.024863794
AGAP000246,15.90586449,-0.392095631,0.520234001,0.753690897,0.451034849,0.690594901
AGAP000247,0,#VALUE!,NA,NA,NA,NA
AGAP000248,201.1543759,0.145691023,0.189346402,-0.769441731,0.441631123,0.683186268
AGAP000249,54.06059331,1.269466978,0.308222214,-4.118674509,3.81E-05,0.000281736
AGAP000250,13.75000444,0.120701282,0.541444439,-0.222924594,0.823594194,0.91982769
AGAP000251,22.37454696,0.473814457,0.426008785,-1.112217572,0.266044614,0.507419743
AGAP000252,54.62447885,-0.591687547,0.299930853,1.972746524,0.048524449,0.14665467
AGAP000253,7.354868229,-0.282171167,0.801023621,0.352263229,0.724640862,0.870891114
AGAP000254,17.8356621,0.058184462,0.502603274,-0.115766182,0.907837853,0.962919767
AGAP000255,117.8765238,0.235757498,0.216293164,-1.089990523,0.275717319,0.518551571
AGAP000256,0.122615795,-0.163970499,4.080472857,0.040184191,0.967946282,NA
AGAP000258,1.810292024,0.969965029,1.51370693,-0.640787863,0.52166052,0.745597449
AGAP000260,1510.261481,-0.830823712,0.138401957,6.002976634,1.94E-09,2.59E-08
AGAP000261,253.4560345,0.510764526,0.180337781,-2.832265773,0.004621941,0.020938649
AGAP000262,0.393982916,2.543256571,3.239060641,-0.785183376,0.432346061,NA
AGAP000264,354.5032546,-0.131668287,0.167015989,0.788357377,0.430487695,0.673710236
AGAP000266,0,#VALUE!,NA,NA,NA,NA
AGAP000267,0.569754179,3.085131471,2.801229563,-1.101349033,0.270744778,NA
AGAP000268,0.738756675,0.888428501,2.338381217,-0.379933133,0.703995052,NA
AGAP000269,156.4107402,-0.037120149,0.19596489,0.189422448,0.849761732,0.932953685
AGAP000270,69.26831695,-0.563355656,0.274321098,2.053635901,0.040010945,0.125877129
AGAP000271,20.68870868,0.361330746,0.452801735,-0.797988873,0.424876947,0.669073277
AGAP000272,96.4576469,-0.423922792,0.235414431,1.800751084,0.071742122,0.198698666
AGAP000273,6.351749727,-0.840767497,0.829665925,1.013380774,0.310878319,0.559142936
AGAP000274,53.37631571,-0.319453338,0.317606835,1.005813799,0.314505148,0.563481619
AGAP000275,6.467422473,-0.418077234,0.826931053,0.505576895,0.613153705,0.808088968
AGAP000277,0,#VALUE!,NA,NA,NA,NA
AGAP000278,0.887420725,3.670440499,2.391976136,-1.5344804,0.124911511,NA
AGAP000279,0,#VALUE!,NA,NA,NA,NA
AGAP000280,0,#VALUE!,NA,NA,NA,NA
AGAP000281,73.53001412,0.265003317,0.257919889,-1.027463673,0.304202183,0.551938743
AGAP000283,8.778660978,-0.16928982,0.677760048,0.2497784,0.802758725,0.912034782
AGAP000284,0.493848889,-2.043822838,2.937431179,0.695785778,0.486562997,NA
AGAP000285,132.8282791,0.270538248,0.206568276,-1.309679555,0.190304263,0.402839305
AGAP000286,0.122615795,-0.163970499,4.080472857,0.040184191,0.967946282,NA
AGAP000287,96.88772793,-0.556056565,0.234786123,2.368353625,0.017867449,0.065218443
AGAP000288,94.63134022,-1.894070722,0.258386658,7.330373548,2.30E-13,4.44E-12
AGAP000289,42.95152113,-0.470793226,0.329389629,1.429289765,0.152920967,0.346025545
AGAP000290,7.232015356,0.223646424,0.778225214,-0.287380079,0.773821313,0.898564414
AGAP000291,14.42345086,0.113111441,0.5475088,-0.20659292,0.83632779,0.926144702
AGAP000292,22.10214032,0.569144077,0.444064424,-1.281670059,0.199958412,0.417486274
AGAP000293,0,#VALUE!,NA,NA,NA,NA
AGAP000294,0.218211654,1.759582853,4.080472857,-0.43122033,0.666308173,NA
AGAP000295,96.4000676,0.163883424,0.234588511,-0.69859953,0.484802337,0.718039702
AGAP000296,10549.37744,0.35314966,0.121171919,-2.91445133,0.003563144,0.016772281
AGAP000297,84.51138997,0.253455375,0.241151285,-1.05102229,0.293248353,0.539393028
AGAP000298,0.2679391,1.759582853,4.080472857,-0.43122033,0.666308173,NA
AGAP000299,150.3219504,1.137971393,0.214376795,-5.308276913,1.11E-07,1.23E-06
AGAP000300,15.81011721,0.574186234,0.507844013,-1.130635036,0.258208735,0.496731343
AGAP000301,10.53161421,-0.872934536,0.653915299,1.334935179,0.181897563,0.39129389
AGAP000303,0.248617299,-1.052425688,3.842731676,0.273874362,0.784181174,NA
AGAP000304,352.8289686,0.169675275,0.172035836,-0.986278668,0.323996385,0.574992562
AGAP000305,115.5553347,0.454384179,0.229037518,-1.983885362,0.047268621,0.143810596
AGAP000306,207.0115229,0.751687635,0.184325811,-4.078037847,4.54E-05,0.00033017
AGAP000307,85.12279869,0.165044088,0.239200895,-0.689981066,0.490206095,0.722483555
AGAP000308,109.5047078,-0.592906563,0.231099665,2.565588159,0.010300104,0.040992621
AGAP000309,0.375824631,-1.646949576,3.254426148,0.506064511,0.612811363,NA
AGAP000310,126.1504611,-0.012390159,0.209761419,0.059067866,0.952898053,0.979066655
AGAP000311,49.50113046,-6.245023391,0.887926344,7.033267381,2.02E-12,3.63E-11
AGAP000312,13.40850861,0.357741364,0.548285746,-0.652472487,0.514096416,0.73940927
AGAP000313,43.63724579,0.372468057,0.380710568,-0.978349666,0.327901414,0.578485191
AGAP000314,0.126604418,-0.163970499,4.080472857,0.040184191,0.967946282,NA
AGAP000315,4.366138706,1.129433637,0.955770546,-1.181699563,0.237324932,0.468490582
AGAP000316,0,#VALUE!,NA,NA,NA,NA
AGAP000317,5.118435845,0.332107497,0.870014331,-0.381726467,0.702664266,0.858185708
AGAP000319,142.7568758,0.207739302,0.207160446,-1.002794242,0.315960148,0.564888585
AGAP000320,62.51644647,-0.284108777,0.294311089,0.965334937,0.334377078,0.585868598
AGAP000321,230.9931589,0.547306492,0.175577168,-3.117184874,0.00182587,0.009355699
AGAP000322,3.430756964,0.370974814,1.085355758,-0.341800199,0.73250126,0.87492926
AGAP000323,4.013174604,-0.36999413,1.018394258,0.363311289,0.716372361,0.865911725
AGAP000324,42.89305843,-0.802824107,0.344024247,2.333626522,0.019615287,0.070195804
AGAP000325,265.1945512,-0.116104183,0.19342641,0.600249898,0.548339704,0.763889507
AGAP000326,132.2160492,-0.56571739,0.21996754,2.571822143,0.010116485,0.040335824
AGAP000327,4.210895073,1.448867763,1.041665639,-1.390914425,0.164251378,0.363421351
AGAP000328,180.9330897,0.239803885,0.189394949,-1.266157768,0.205456604,0.425826963
AGAP000329,0.987416286,0.738928016,1.947493666,-0.379425119,0.7043722,NA
AGAP000330,0.563027725,1.700303406,2.892799359,-0.587770943,0.55668605,NA
AGAP000331,68.26585548,0.242758163,0.268598787,-0.903794713,0.366104266,0.616080832
AGAP000332,0.69571337,0.798526382,2.51291558,-0.317768885,0.750660255,NA
AGAP000334,95.88648816,-0.059847549,0.257611305,0.232317246,0.816291618,0.917205339
AGAP000336,54.76660409,0.29185742,0.289650025,-1.007620906,0.313636489,0.562355861
AGAP000337,31.51506972,0.068260369,0.382377059,-0.178515859,0.858317867,0.93711128
AGAP000338,30.02652718,0.609647699,0.380198635,-1.603497863,0.108824781,0.272532918
AGAP000339,34.57361307,0.061788426,0.352315652,-0.175378034,0.860782599,0.937935346
AGAP000340,240.9322172,-1.442071683,0.199343935,7.234088592,4.69E-13,8.84E-12
AGAP000341,0.252605921,-1.072084396,3.819163358,0.280711846,0.778931422,NA
AGAP000342,8.023800561,0.084506277,0.712059365,-0.118678696,0.905529915,0.962056263
AGAP000343,2.181893885,-1.404293095,1.456734659,0.964000606,0.335045622,0.586103155
AGAP000344,1.393304359,2.184880115,1.857262031,-1.176398418,0.239435703,0.470949899
AGAP000345,0,#VALUE!,NA,NA,NA,NA
AGAP000346,11.23329595,0.414892603,0.687463587,-0.603512114,0.546168059,0.7624218
AGAP000347,0.126604418,-0.163970499,4.080472857,0.040184191,0.967946282,NA
AGAP000348,13.63137168,0.77229035,0.611573278,-1.262792828,0.206663643,0.427613926
AGAP000349,39.77645611,0.003357534,0.331989367,-0.010113378,0.99193083,0.997728185
AGAP000351,0.390554895,0.797803615,3.29572421,-0.242072323,0.808724124,NA
AGAP000352,12.85475587,-3.502139099,0.824539147,4.247389725,2.16E-05,0.000167913
AGAP000354,159.9702892,0.673072832,0.190854179,-3.526633965,0.000420878,0.00253696
AGAP000355,24.42929812,1.014495211,0.433394425,-2.340812784,0.019241813,0.069101753
AGAP000356,5.931456717,0.213357307,0.820172009,-0.26013727,0.79475789,0.909100939
AGAP000357,0.218211654,1.759582853,4.080472857,-0.43122033,0.666308173,NA
AGAP000358,452.6479992,0.337243872,0.164398587,-2.051379381,0.040230015,0.126520483
AGAP000359,18.06141669,3.016236092,0.589510688,-5.116507902,3.11E-07,3.24E-06
AGAP000360,27.74590172,-0.058544358,0.400035296,0.14634798,0.883646691,0.950675914
AGAP000361,1.425258035,-2.418944216,1.872297187,1.291965952,0.196368936,0.412408025
AGAP000363,9.375144486,0.193333619,0.696972134,-0.277390744,0.781480088,0.902334928
AGAP000364,0.738196073,2.211485913,2.451929814,-0.901936875,0.367090402,NA
AGAP000365,739.8296436,0.163024944,0.141474345,-1.152328668,0.249186041,0.484962967
AGAP000366,63.90511358,2.246196068,0.312851056,-7.179761824,6.98E-13,1.30E-11
AGAP000367,1393.6245,2.315056056,0.127261578,-18.19131973,6.05E-74,6.25E-72
AGAP000368,33.91704453,0.209987044,0.358268131,-0.586117006,0.557796889,0.769565422
AGAP000369,1.599568543,1.123894299,1.551358148,-0.724458308,0.468784414,0.70503758
AGAP000372,188.5508869,-0.395547775,0.193265276,2.046657238,0.040691751,0.127510612
AGAP000374,11.11706817,0.375909918,0.596375833,-0.630323861,0.528482715,0.750184175
AGAP000375,185.814425,-0.442584139,0.188372487,2.349515824,0.018797845,0.067900664
AGAP000376,6470.911461,4.064020801,0.421940431,-9.631740648,5.87E-22,1.80E-20
AGAP000377,2.40706879,0.186395098,1.240995672,-0.150198025,0.880608384,0.949692048
AGAP000378,589.609107,-0.202751113,0.171188688,1.18437214,0.236265784,0.466936931
AGAP000379,0,#VALUE!,NA,NA,NA,NA
AGAP000380,323.6452372,-0.534038878,0.164715918,3.242181354,0.001186185,0.006403039
AGAP000382,0,#VALUE!,NA,NA,NA,NA
AGAP000383,1.212680848,-2.09083244,2.065548925,1.012240579,0.311423038,0.559427147
AGAP000385,57.07904967,0.322008577,0.296235798,-1.087000893,0.277036415,0.519834156
AGAP000387,31.28602051,1.783800311,0.39838791,-4.477546295,7.55E-06,6.33E-05
AGAP000388,26.25886451,-1.134792046,0.430997165,2.632945501,0.008464793,0.034716857
AGAP000389,18.48532281,-0.213960787,0.474962013,0.450479788,0.652364525,0.830729953
AGAP000390,341.4867649,-0.369274504,0.160434497,2.301715099,0.021351244,0.075153609
AGAP000391,2.289455612,-0.864342423,1.343324251,0.643435434,0.519941597,0.744243579
AGAP000392,119.6430026,0.004035735,0.223455144,-0.018060602,0.985590508,0.994874474
AGAP000393,79.92390775,0.298073162,0.252743343,-1.179351191,0.238258362,0.469272199
AGAP000394,74.17672408,-0.3564336,0.255915288,1.392779628,0.163686441,0.362541032
AGAP000395,253.1190728,0.622769949,0.170120825,-3.660750829,0.000251477,0.001603837
AGAP000396,313.759184,-1.095400426,0.178034504,6.1527423,7.62E-10,1.07E-08
AGAP000397,52.87858559,-0.188601557,0.320193578,0.589023545,0.555845479,0.768795721
AGAP000398,23.46278611,-0.276583565,0.427525192,0.646940976,0.517670145,0.742570361
